Parameter,Value,Layer,Key ID,Value Type,Action
CFG-MSGOUT-RTCM_3X_TYPE1094_SPI,0,RAM,0x2091036c,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1094_UART1,0,RAM,0x20910369,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1094_UART2,0,RAM,0x2091036a,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1094_USB,0,RAM,0x2091036b,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1097_I2C,0,RAM,0x20910318,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1097_SPI,0,RAM,0x2091031c,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1097_UART1,0,RAM,0x20910319,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1097_UART2,0,RAM,0x2091031a,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1097_USB,0,RAM,0x2091031b,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1124_I2C,0,RAM,0x2091036d,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1124_SPI,0,RAM,0x20910371,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1124_UART1,0,RAM,0x2091036e,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1124_UART2,0,RAM,0x2091036f,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1124_USB,0,RAM,0x20910370,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1127_I2C,0,RAM,0x209102d6,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1127_SPI,0,RAM,0x209102da,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1127_UART1,0,RAM,0x209102d7,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1127_UART2,0,RAM,0x209102d8,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1127_USB,0,RAM,0x209102d9,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1230_I2C,0,RAM,0x20910303,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1230_SPI,0,RAM,0x20910307,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1230_UART1,0,RAM,0x20910304,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1230_UART2,0,RAM,0x20910305,U1,Set
CFG-MSGOUT-RTCM_3X_TYPE1230_USB,0,RAM,0x20910306,U1,Set
CFG-MSGOUT-UBX_LOG_INFO_I2C,0,RAM,0x20910259,U1,Set
CFG-MSGOUT-UBX_LOG_INFO_SPI,0,RAM,0x2091025d,U1,Set
CFG-MSGOUT-UBX_LOG_INFO_UART1,0,RAM,0x2091025a,U1,Set
CFG-MSGOUT-UBX_LOG_INFO_UART2,0,RAM,0x2091025b,U1,Set
CFG-MSGOUT-UBX_LOG_INFO_USB,0,RAM,0x2091025c,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_I2C,10,RAM,0x2091034f,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_I2C,10,Flash,0x2091034f,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_SPI,0,RAM,0x20910353,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_UART1,10,RAM,0x20910350,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_UART1,10,Flash,0x20910350,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_UART2,0,RAM,0x20910351,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_USB,10,RAM,0x20910352,U1,Set
CFG-MSGOUT-UBX_MON_COMMS_USB,10,Flash,0x20910352,U1,Set
CFG-MSGOUT-UBX_MON_HW3_I2C,10,RAM,0x20910354,U1,Set
CFG-MSGOUT-UBX_MON_HW3_I2C,10,Flash,0x20910354,U1,Set
CFG-MSGOUT-UBX_MON_HW3_SPI,0,RAM,0x20910358,U1,Set
CFG-MSGOUT-UBX_MON_HW3_UART1,10,RAM,0x20910355,U1,Set
CFG-MSGOUT-UBX_MON_HW3_UART1,10,Flash,0x20910355,U1,Set
CFG-MSGOUT-UBX_MON_HW3_UART2,0,RAM,0x20910356,U1,Set
CFG-MSGOUT-UBX_MON_HW3_USB,10,RAM,0x20910357,U1,Set
CFG-MSGOUT-UBX_MON_HW3_USB,10,Flash,0x20910357,U1,Set
CFG-MSGOUT-UBX_MON_RF_I2C,10,RAM,0x20910359,U1,Set
CFG-MSGOUT-UBX_MON_RF_I2C,10,Flash,0x20910359,U1,Set
CFG-MSGOUT-UBX_MON_RF_SPI,0,RAM,0x2091035d,U1,Set
CFG-MSGOUT-UBX_MON_RF_UART1,10,RAM,0x2091035a,U1,Set
CFG-MSGOUT-UBX_MON_RF_UART1,10,Flash,0x2091035a,U1,Set
CFG-MSGOUT-UBX_MON_RF_UART2,0,RAM,0x2091035b,U1,Set
CFG-MSGOUT-UBX_MON_RF_USB,10,RAM,0x2091035c,U1,Set
CFG-MSGOUT-UBX_MON_RF_USB,10,Flash,0x2091035c,U1,Set
CFG-MSGOUT-UBX_MON_RXR_I2C,0,RAM,0x20910187,U1,Set
CFG-MSGOUT-UBX_MON_RXR_SPI,0,RAM,0x2091018b,U1,Set
CFG-MSGOUT-UBX_MON_RXR_UART1,0,RAM,0x20910188,U1,Set
CFG-MSGOUT-UBX_MON_RXR_UART2,0,RAM,0x20910189,U1,Set
CFG-MSGOUT-UBX_MON_RXR_USB,0,RAM,0x2091018a,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_I2C,10,RAM,0x2091038b,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_I2C,10,Flash,0x2091038b,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_SPI,0,RAM,0x2091038f,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_UART1,10,RAM,0x2091038c,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_UART1,10,Flash,0x2091038c,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_UART2,0,RAM,0x2091038d,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_USB,10,RAM,0x2091038e,U1,Set
CFG-MSGOUT-UBX_MON_SPAN_USB,10,Flash,0x2091038e,U1,Set
