iTOW,tAcc,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid
390779000,7,390779,227769,1377,18,True,True,True
390789000,7,390789,232543,1377,18,True,True,True
390799000,7,390799,237319,1377,18,True,True,True
390809000,7,390809,242093,1377,18,True,True,True
390819000,7,390819,246869,1377,18,True,True,True
390829000,7,390829,251644,1377,18,True,True,True
390839000,7,390839,256418,1377,18,True,True,True
390849000,7,390849,261191,1377,18,True,True,True
390859000,7,390859,265963,1377,18,True,True,True
390869000,7,390869,270736,1377,18,True,True,True
390879000,7,390879,275510,1377,18,True,True,True
390889000,7,390889,280287,1377,18,True,True,True
390899000,7,390899,285063,1377,18,True,True,True
390909000,7,390909,289839,1377,18,True,True,True
390919000,7,390919,294612,1377,18,True,True,True
390929000,8,390929,299384,1377,18,True,True,True
390939000,8,390939,304158,1377,18,True,True,True
390949000,8,390949,308933,1377,18,True,True,True
390959000,9,390959,313707,1377,18,True,True,True
390969000,8,390969,318480,1377,18,True,True,True
390979000,6,390979,323252,1377,18,True,True,True
390989000,6,390989,328023,1377,18,True,True,True
390999000,6,390999,332794,1377,18,True,True,True
391009000,6,391009,337566,1377,18,True,True,True
391019000,6,391019,342339,1377,18,True,True,True
391029000,6,391029,347112,1377,18,True,True,True
391039000,6,391039,351885,1377,18,True,True,True
391049000,6,391049,356658,1377,18,True,True,True
391059000,6,391059,361431,1377,18,True,True,True
391069000,7,391069,366203,1377,18,True,True,True
391079000,7,391079,370973,1377,18,True,True,True
391089000,7,391089,375743,1377,18,True,True,True
391099000,7,391099,380511,1377,18,True,True,True
391109000,6,391109,385280,1377,18,True,True,True
391119000,6,391119,390049,1377,18,True,True,True
391129000,5,391129,394818,1377,18,True,True,True
391139000,6,391139,399586,1377,18,True,True,True
391149000,6,391149,404354,1377,18,True,True,True
391159000,6,391159,409123,1377,18,True,True,True
391169000,6,391169,413892,1377,18,True,True,True
391179000,6,391179,418662,1377,18,True,True,True
391189000,6,391189,423432,1377,18,True,True,True
391199000,6,391199,428202,1377,18,True,True,True
391209000,6,391209,432971,1377,18,True,True,True
391219000,7,391219,437742,1377,18,True,True,True
391229000,7,391229,442513,1377,18,True,True,True
391239000,7,391239,447284,1377,18,True,True,True
391249000,8,391249,452054,1377,18,True,True,True
391259000,8,391259,456823,1377,18,True,True,True
391269000,8,391269,461594,1377,18,True,True,True
391279000,8,391279,466363,1377,18,True,True,True
391289000,9,391289,471131,1377,18,True,True,True
391299000,9,391299,475900,1377,18,True,True,True
391309000,10,391309,480668,1377,18,True,True,True
391319000,10,391319,485438,1377,18,True,True,True
391329000,10,391329,490207,1377,18,True,True,True
391339000,10,391339,494976,1377,18,True,True,True
391349000,11,391349,499743,1377,18,True,True,True
391359000,11,391359,-495488,1377,18,True,True,True
391369000,11,391369,-490717,1377,18,True,True,True
391379000,12,391379,-485948,1377,18,True,True,True
391389000,12,391389,-481180,1377,18,True,True,True
391399000,12,391399,-476411,1377,18,True,True,True
391409000,12,391409,-471643,1377,18,True,True,True
391419000,13,391419,-466875,1377,18,True,True,True
391429000,13,391429,-462108,1377,18,True,True,True
391439000,12,391439,-457339,1377,18,True,True,True
391449000,12,391449,-452570,1377,18,True,True,True
391459000,12,391459,-447803,1377,18,True,True,True
391469000,11,391469,-443036,1377,18,True,True,True
391479000,11,391479,-438267,1377,18,True,True,True
391489000,12,391489,-433498,1377,18,True,True,True
391499000,12,391499,-428729,1377,18,True,True,True
391509000,12,391509,-423960,1377,18,True,True,True
391519000,11,391519,-419193,1377,18,True,True,True
391529000,11,391529,-414426,1377,18,True,True,True
391539000,11,391539,-409660,1377,18,True,True,True
391549000,11,391549,-404894,1377,18,True,True,True
391559000,11,391559,-400128,1377,18,True,True,True
391569000,10,391569,-395363,1377,18,True,True,True
391579000,10,391579,-390597,1377,18,True,True,True
391589000,10,391589,-385832,1377,18,True,True,True
391599000,10,391599,-381066,1377,18,True,True,True
391609000,10,391609,-376301,1377,18,True,True,True
391619000,10,391619,-371536,1377,18,True,True,True
391629000,10,391629,-366770,1377,18,True,True,True
391639000,11,391639,-362003,1377,18,True,True,True
391649000,11,391649,-357236,1377,18,True,True,True
391659000,11,391659,-352470,1377,18,True,True,True
391669000,11,391669,-347704,1377,18,True,True,True
391679000,11,391679,-342939,1377,18,True,True,True
391689000,11,391689,-338172,1377,18,True,True,True
391699000,11,391699,-333406,1377,18,True,True,True
391709000,11,391709,-328641,1377,18,True,True,True
391719000,12,391719,-323876,1377,18,True,True,True
391729000,12,391729,-319112,1377,18,True,True,True
391739000,12,391739,-314347,1377,18,True,True,True
391749000,12,391749,-309583,1377,18,True,True,True
391759000,12,391759,-304819,1377,18,True,True,True
391769000,12,391769,-300055,1377,18,True,True,True
391779000,12,391779,-295292,1377,18,True,True,True
391789000,13,391789,-290529,1377,18,True,True,True
391799000,13,391799,-285766,1377,18,True,True,True
391809000,13,391809,-281004,1377,18,True,True,True
391819000,13,391819,-276241,1377,18,True,True,True
391829000,13,391829,-271478,1377,18,True,True,True
391839000,14,391839,-266714,1377,18,True,True,True
391849000,14,391849,-261950,1377,18,True,True,True
391859000,14,391859,-257187,1377,18,True,True,True
391869000,14,391869,-252424,1377,18,True,True,True
391879000,14,391879,-247661,1377,18,True,True,True
391889000,14,391889,-242897,1377,18,True,True,True
391899000,14,391899,-238136,1377,18,True,True,True
391909000,14,391909,-233374,1377,18,True,True,True
391919000,14,391919,-228613,1377,18,True,True,True
391929000,14,391929,-223853,1377,18,True,True,True
391939000,13,391939,-219093,1377,18,True,True,True
391949000,12,391949,-214332,1377,18,True,True,True
391959000,12,391959,-209569,1377,18,True,True,True
391969000,12,391969,-204807,1377,18,True,True,True
391979000,12,391979,-200046,1377,18,True,True,True
391989000,12,391989,-195284,1377,18,True,True,True
391999000,12,391999,-190522,1377,18,True,True,True
392009000,12,392009,-185760,1377,18,True,True,True
392019000,12,392019,-180998,1377,18,True,True,True
392029000,12,392029,-176236,1377,18,True,True,True
392039000,12,392039,-171475,1377,18,True,True,True
392049000,12,392049,-166714,1377,18,True,True,True
392059000,12,392059,-161953,1377,18,True,True,True
392069000,12,392069,-157193,1377,18,True,True,True
392079000,12,392079,-152432,1377,18,True,True,True
392089000,12,392089,-147673,1377,18,True,True,True
392099000,12,392099,-142915,1377,18,True,True,True
392109000,12,392109,-138155,1377,18,True,True,True
392119000,12,392119,-133396,1377,18,True,True,True
