iTOW,galTow,fGalTow,galWno,leapS,galTowValid,galWnoValid,leapSValid,tAcc
390119000,390119,-87572,1377,18,True,True,True,8
390129000,390129,-82791,1377,18,True,True,True,8
390139000,390139,-78011,1377,18,True,True,True,8
390149000,390149,-73231,1377,18,True,True,True,8
390159000,390159,-68452,1377,18,True,True,True,9
390169000,390169,-63672,1377,18,True,True,True,8
390179000,390179,-58893,1377,18,True,True,True,8
390189000,390189,-54113,1377,18,True,True,True,8
390199000,390199,-49334,1377,18,True,True,True,8
390209000,390209,-44554,1377,18,True,True,True,8
390219000,390219,-39775,1377,18,True,True,True,8
390229000,390229,-34996,1377,18,True,True,True,8
390239000,390239,-30216,1377,18,True,True,True,8
390249000,390249,-25437,1377,18,True,True,True,7
390259000,390259,-20658,1377,18,True,True,True,7
390269000,390269,-15877,1377,18,True,True,True,7
390279000,390279,-11098,1377,18,True,True,True,7
390289000,390289,-6318,1377,18,True,True,True,7
390299000,390299,-1540,1377,18,True,True,True,7
390309000,390309,3238,1377,18,True,True,True,7
390319000,390319,8018,1377,18,True,True,True,7
390329000,390329,12798,1377,18,True,True,True,7
390339000,390339,17579,1377,18,True,True,True,7
390349000,390349,22358,1377,18,True,True,True,7
390359000,390359,27136,1377,18,True,True,True,7
390369000,390369,31914,1377,18,True,True,True,7
390379000,390379,36693,1377,18,True,True,True,7
390389000,390389,41471,1377,18,True,True,True,7
390399000,390399,46249,1377,18,True,True,True,6
390409000,390409,51026,1377,18,True,True,True,6
390419000,390419,55804,1377,18,True,True,True,6
390429000,390429,60581,1377,18,True,True,True,6
390439000,390439,65357,1377,18,True,True,True,6
390449000,390449,70136,1377,18,True,True,True,6
390459000,390459,74914,1377,18,True,True,True,6
390469000,390469,79693,1377,18,True,True,True,6
390479000,390479,84471,1377,18,True,True,True,6
390489000,390489,89248,1377,18,True,True,True,6
390499000,390499,94026,1377,18,True,True,True,6
390509000,390509,98804,1377,18,True,True,True,6
390519000,390519,103580,1377,18,True,True,True,6
390529000,390529,108358,1377,18,True,True,True,6
390539000,390539,113135,1377,18,True,True,True,6
390549000,390549,117911,1377,18,True,True,True,6
390559000,390559,122687,1377,18,True,True,True,6
390569000,390569,127463,1377,18,True,True,True,6
390579000,390579,132241,1377,18,True,True,True,6
390589000,390589,137018,1377,18,True,True,True,6
390599000,390599,141795,1377,18,True,True,True,6
390609000,390609,146573,1377,18,True,True,True,6
390619000,390619,151351,1377,18,True,True,True,6
390629000,390629,156129,1377,18,True,True,True,7
390639000,390639,160908,1377,18,True,True,True,7
390649000,390649,165687,1377,18,True,True,True,7
390659000,390659,170464,1377,18,True,True,True,7
390669000,390669,175241,1377,18,True,True,True,7
390679000,390679,180019,1377,18,True,True,True,8
390689000,390689,184795,1377,18,True,True,True,8
390699000,390699,189569,1377,18,True,True,True,8
390709000,390709,194344,1377,18,True,True,True,8
390719000,390719,199120,1377,18,True,True,True,7
390729000,390729,203895,1377,18,True,True,True,7
390739000,390739,208668,1377,18,True,True,True,8
390749000,390749,213443,1377,18,True,True,True,8
390759000,390759,218220,1377,18,True,True,True,7
390769000,390769,222994,1377,18,True,True,True,7
390779000,390779,227769,1377,18,True,True,True,7
390789000,390789,232543,1377,18,True,True,True,7
390799000,390799,237319,1377,18,True,True,True,7
390809000,390809,242093,1377,18,True,True,True,7
390819000,390819,246869,1377,18,True,True,True,7
390829000,390829,251644,1377,18,True,True,True,7
390839000,390839,256418,1377,18,True,True,True,7
390849000,390849,261191,1377,18,True,True,True,7
390859000,390859,265963,1377,18,True,True,True,7
390869000,390869,270736,1377,18,True,True,True,7
390879000,390879,275510,1377,18,True,True,True,7
390889000,390889,280287,1377,18,True,True,True,7
390899000,390899,285063,1377,18,True,True,True,7
390909000,390909,289839,1377,18,True,True,True,7
390919000,390919,294612,1377,18,True,True,True,7
390929000,390929,299384,1377,18,True,True,True,8
390939000,390939,304158,1377,18,True,True,True,8
390949000,390949,308933,1377,18,True,True,True,8
390959000,390959,313707,1377,18,True,True,True,9
390969000,390969,318480,1377,18,True,True,True,8
390979000,390979,323252,1377,18,True,True,True,6
390989000,390989,328023,1377,18,True,True,True,6
390999000,390999,332794,1377,18,True,True,True,6
391009000,391009,337566,1377,18,True,True,True,6
391019000,391019,342339,1377,18,True,True,True,6
391029000,391029,347112,1377,18,True,True,True,6
391039000,391039,351885,1377,18,True,True,True,6
391049000,391049,356658,1377,18,True,True,True,6
391059000,391059,361431,1377,18,True,True,True,6
391069000,391069,366203,1377,18,True,True,True,7
391079000,391079,370973,1377,18,True,True,True,7
391089000,391089,375743,1377,18,True,True,True,7
