rcvTow,week,leapS,numMeas,leapSec,clkReset,prMes,cpMes,doMes,gnssId,svId,sigId,freqId,locktime,cno,prStdev,cpStdev,doStdev,prValid,cpValid,halfCyc,subHalfCyc
225535.994,2386,18,19,True,False,21520916.468051504,84452698.78585365,-1190.4464111328125,2,26,4,0,0,26,7,0,15,True,False,True,False
225536.994,2386,18,19,True,False,21424406.231065102,112586021.5911426,1154.7021484375,0,10,0,0,64500,47,3,0,1,True,False,True,True
225536.994,2386,18,19,True,False,18531019.826795068,97381156.0912565,-1718.650146484375,0,18,0,0,2920,27,8,0,7,False,False,False,False
225536.994,2386,18,19,True,False,19037119.567997225,100040760.52931893,-70.21484375,0,23,0,0,64500,46,3,0,1,False,True,True,True
225536.994,2386,18,19,True,False,18867479.346744172,99149204.83500965,-1137.469482421875,0,24,0,0,5560,27,8,0,7,False,False,False,False
225536.994,2386,18,19,True,False,22658035.02129781,119068721.49417403,-1008.5656127929688,0,27,0,0,64500,43,4,0,2,False,True,True,True
225536.994,2386,18,19,True,False,23037334.270955056,121061984.9038411,-2852.220703125,2,7,0,0,64500,28,6,0,6,False,False,False,False
225536.994,2386,18,19,True,False,21226375.188690715,111545321.85757639,1152.514404296875,0,32,0,0,64500,36,5,0,3,False,False,False,False
225536.994,2386,18,19,True,False,22647548.43656885,119013652.22436947,938.9951171875,2,33,0,0,64500,46,3,0,1,True,False,True,True
225536.994,2386,18,19,True,False,21521224.036864277,113094798.77283287,-1594.510498046875,2,26,0,0,64500,32,6,0,5,False,False,False,False
