iTOW,numSvs,gnssId,svId,cno,elev,azim,prRes,qualityInd,health,diffCorr,smoothed,orbitSource,ephAvail,almAvail,anoAvail,aopAvail,sbasCorrUsed,rtcmCorrUsed,slasCorrUsed,spartnCorrUsed,prCorrUsed,crCorrUsed,doCorrUsed,clasCorrUsed,lppCorrUsed,hasCorrUsed,svUse
384789000,19,0,25,0,38,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384789000,19,0,28,42,74,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,0,31,34,48,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,0,32,38,55,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,2,7,20,30,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,2,10,0,2,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384789000,19,2,12,34,17,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,2,19,37,29,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,2,21,22,23,4865,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384789000,19,2,26,0,24,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384789000,19,2,27,20,42,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,2,29,49,57,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,2,30,19,21,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384789000,19,2,33,40,40,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,1,38,15,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,2,42,22,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,10,20,58,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,12,28,9,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,23,25,16,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,25,0,38,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384799000,19,0,28,42,74,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,31,35,48,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,0,32,37,55,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,2,7,18,30,4865,0,0,1,True,True,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,2,10,0,2,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
384799000,19,2,12,34,17,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,2,19,37,29,4865,0,0,1,True,True,1,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
384799000,19,2,21,21,23,4865,0,0,0,True,True,0,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False
384799000,19,2,26,0,24,4865,0,0,0,False,True,0,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False
