rcvTow,week,leapS,numMeas,prMes,cpMes,doMes,gnssId,svId,freqId,locktime,cno,prStd,cpStd,doStd
391550.991,2383,18,26,21438133.08991259,87785570.70870017,1817.599609375,0,18,0,8080,48,,,
391550.991,2383,18,26,20966724.867530577,86989091.93494196,-3476.964599609375,6,255,2,8100,44,,,
391550.991,2383,18,26,16971966.386908747,70464735.82940379,665.58349609375,6,22,4,8080,43,,,
391550.991,2383,18,26,16772414.180575239,69832016.2822777,-1503.4775390625,6,7,12,8120,43,,,
391550.991,2383,18,26,17437182.263204735,72625202.41202691,1528.0438232421875,6,8,13,8080,40,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,,,,,,,,,,,
391551.991,2383,18,27,19846424.31865799,105904326.15704818,-4260.84130859375,6,6,3,9100,34,,,
391551.991,2383,18,27,16971800.57856943,90596638.75217572,855.3368530273438,6,22,4,9140,48,,,
391551.991,2383,18,27,19140777.446832255,102390239.14322536,2928.281005859375,6,23,10,9080,49,,,
391551.991,2383,18,27,16772770.542570038,89785922.32522953,-1933.664794921875,6,7,12,9120,43,,,
391551.991,2383,18,27,17436803.440476272,93373295.62594163,1963.831298828125,6,8,13,9080,43,,,
391551.991,2383,18,27,20967554.986184802,111847561.02195348,-4470.5234375,6,255,2,9100,43,,,
391551.991,2383,18,27,18040012.102126714,94800907.4752892,400.830078125,0,29,0,3920,46,,,
391551.991,2383,18,27,18500812.301895335,97222421.89100416,-1915.777587890625,0,5,0,3920,51,,,
391551.991,2383,18,27,25392211.28594107,102243912.53247866,-342.74755859375,2,27,0,9120,44,,,
391551.991,2383,18,27,24071641.9459196,96926524.372767,-1649.75390625,2,30,0,7240,27,,,
391551.991,2383,18,27,18500811.507840626,75757731.25674812,-1493.0498046875,0,5,0,9000,46,,,
391551.991,2383,18,27,18040009.08833451,73870832.84906845,312.506103515625,0,29,0,9000,41,,,
