rcvTOW,ZHD_m,ZWD_m,ZTD_m,ZTD_sigma_m,n_sats,sats_used,PWV_mm
225251.992000,1.930230,21.208160,23.138390,3.271908,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.084899
225252.992000,1.930230,21.317764,23.247994,3.228840,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",98.591802
225253.992000,1.930230,21.426294,23.356524,3.193685,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.093740
225254.992000,1.930230,21.531671,23.461901,3.133119,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.581093
225255.992000,1.930230,21.572010,23.502240,3.086036,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",99.767654
225256.992000,1.930230,21.743805,23.674035,3.066888,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.562184
225257.992000,1.930230,21.743167,23.673397,3.042093,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.559235
225258.992000,1.930230,21.674739,23.604969,3.024988,16,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G23,G25,G26,G28,G31,G32",100.242765
225259.992000,1.930230,22.188902,24.119132,3.528209,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.620696
225260.992000,1.930230,22.342776,24.273006,3.526737,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.332344
225261.992000,1.930230,22.345631,24.275861,3.536668,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.345548
225262.992000,1.930230,22.330342,24.260572,3.520171,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.274839
225263.992000,1.930230,22.395732,24.325962,3.528487,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.577258
225264.992000,1.930230,22.377524,24.307754,3.511561,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.493048
225265.992000,1.930230,22.270487,24.200717,3.491707,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.998018
225266.992000,1.930230,22.250563,24.180793,3.483954,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.905873
225267.992000,1.930230,22.353949,24.284179,3.498338,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.384018
225268.992000,1.930230,22.305556,24.235786,3.497185,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.160206
225269.992000,1.930230,22.182572,24.112802,3.467915,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.591423
225270.992000,1.930230,22.271808,24.202038,3.472403,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.004127
225271.992000,1.930230,22.325910,24.256140,3.477261,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",103.254342
225272.992000,1.930230,22.188210,24.118440,3.463709,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.617499
225273.992000,1.930230,22.264598,24.194828,3.481349,15,"E06,E09,E10,E11,E23,E31,E36,G01,G02,G10,G25,G26,G28,G31,G32",102.970783
