rcvTOW,ZHD_m,ZWD_m,ZTD_m,PWV_mm,clk_residual_m,n_sats,rms_m
225807.992,1.93022954639882,-6.02471044448431,-4.094480898085489,-10.140630935566474,46.39645117236933,15,5.990252283550577
225808.992,1.93022954639882,-5.932699627851673,-4.002470081452853,-9.985760798296084,46.25088967213827,15,5.982491576216315
225809.992,1.93022954639882,-5.898362081291434,-3.9681325348926135,-9.927964761439405,46.09606013412248,15,5.91313176959313
225810.992,1.93022954639882,-5.939437643924182,-4.009208097525362,-9.997102046121825,46.023098446828925,15,5.784680002359441
225811.992,1.93022954639882,-5.931594875723701,-4.001365329324881,-9.983901309162409,46.10566010932773,15,5.814861608827169
225812.992,1.93022954639882,-5.720368565459149,-3.7901390190603292,-9.628370852385807,45.682412260423746,15,5.86619628098726
225813.992,1.93022954639882,-5.604504030351065,-3.674274483952245,-9.433350776337548,45.61910817878605,15,5.974458328374047
225814.992,1.93022954639882,-5.39476575724391,-3.4645362108450897,-9.080324943769963,45.448128639135675,15,6.128287067474853
225815.992,1.93022954639882,-5.353478954523484,-3.423249408124664,-9.010832105440995,45.33596677102389,15,6.183996791797222
225816.992,1.93022954639882,-5.191691399349732,-3.2614618529509114,-8.738515634449989,45.095932792422545,15,6.174374771360794
225817.992,1.93022954639882,-5.23832555127117,-3.3080960048723496,-8.817008987447789,45.15083937032655,15,6.221851955782987
225818.992,1.93022954639882,-5.039376132823165,-3.1091465864243446,-8.482142665503003,44.89091638435583,15,6.406548530912922
225819.992,1.93022954639882,-4.963708688594848,-3.033479142196028,-8.354781254058011,44.842841920192775,15,6.433638466166684
225820.992,1.93022954639882,-5.091311551731143,-3.1610820053323225,-8.569558968822943,44.909837983933734,15,6.495234132134395
225821.992,1.93022954639882,-5.0699430404216494,-3.1397134940228293,-8.53359206405154,44.957966699638526,15,6.543161620733928
225822.992,1.93022954639882,-5.054752464759151,-3.1245229183603307,-8.508023694764477,44.92372276442215,15,6.54051955657701
225823.992,1.93022954639882,-4.9160131645355225,-2.9857836181367023,-8.274501427961663,44.96990413917534,15,6.7351979747401645
225824.992,1.93022954639882,-5.003320081185912,-3.0730905347870916,-8.421454087020058,44.684338981273235,15,6.609280260199786
225825.992,1.93022954639882,-4.879723957939205,-2.9494944115403845,-8.213420409308775,44.71089437037452,15,6.727730652115673
225826.992,1.93022954639882,-4.886656139909058,-2.956426593510238,-8.225088471962115,44.47338165298331,15,6.568250245334865
225827.992,1.93022954639882,-4.859276852305809,-2.9290473059069893,-8.179004389843703,44.58717050141094,15,6.573644390519957
225828.992,1.93022954639882,-4.743740635994834,-2.8135110895960143,-7.984536931183677,44.329909997353504,15,6.662098338946746
225829.992,1.93022954639882,-4.561203344301132,-2.6309737979023122,-7.677295060541026,43.980774118444806,15,6.792071467510101
225830.992,1.93022954639882,-4.461152679432619,-2.5309231330337987,-7.50889246648466,44.071585634748345,15,6.899334367920239
225831.992,1.93022954639882,-4.437836726987175,-2.507607180588355,-7.46964768105652,43.985457137268156,15,7.067180617730824
225832.992,1.93022954639882,-4.243909104461432,-2.3136795580626117,-7.143233911238618,43.81548134961926,15,7.094212747416058
225833.992,1.93022954639882,-4.198479588870771,-2.2682500424719505,-7.066768169784069,43.529995415867866,15,7.20983488750595
225834.992,1.93022954639882,-4.336575005186792,-2.406345458787972,-7.299206668473452,43.713703318505374,15,7.184790827805771
225835.992,1.93022954639882,-4.379803158987356,-2.4495736125885355,-7.371967136840648,43.805508872295746,15,7.17396797995924
225836.992,1.93022954639882,-4.472469937561789,-2.542240391162969,-7.527941371647485,43.97909560988893,15,7.129584043995275
225837.992,1.93022954639882,-4.499506235015519,-2.569276688616699,-7.5734481419510224,44.031867749621696,15,7.1426762765717555
